"RentTotal","SqftLease","Renovation","LeaseLen","Age","DistCity","DistAirp","DriveAirp","Location","Occupancy","FloorsBldg","SqftFloor","Elevators","Restaurant","Wiring","Exercise","DistHosp","FirmType","FloorLease","Renewable","Parking"
346566.210810337,42221.34,29,8,29,6.05,19.42,45.71,"SUBOLD",1,10,34832.89,5,"NO","NO","NO",2.14,"BUS.",1,"NO",6
2194487.41269143,66219.05,1,4,19,2.85,11.8,14.85,"SUBNEW",0.74,15,43509.41,5,"YES","YES","YES",0.8,"BUS.",7,"NO",14
342055.541484135,16054.41,32,3,43,1.24,14.53,25.71,"CITY",0.97,37,32099.67,6,"NO","NO","NO",1.33,"BUS.",22,"NO",5
169642.152236124,4082.25,0,10,47,1.11,14.3,24.8,"CITY",1,28,33533.08,4,"YES","YES","YES",1.09,"DOCTOR",27,"YES",4
626817.558031289,36601.81,2,3,2,6.37,19.89,47.5,"SUBOLD",0.75,12,16247.99,6,"YES","NO","YES",2.38,"OTHER",10,"NO",0
195896.972255348,8771.04,15,9,31,0.75,15.15,28.77,"CITY",0.93,41,30630.03,6,"NO","NO","NO",0.55,"LEGAL",38,"NO",3
341856.062837279,16682.11,47,10,47,0.13,14.31,25.61,"CITY",0.81,28,35602.52,5,"YES","NO","NO",0.58,"OTHER",25,"NO",4
43708.3830484773,2384.71,15,8,15,2,14.32,24.93,"SUBNEW",0.76,19,53479.76,7,"YES","NO","NO",1.28,"DOCTOR",15,"NO",2
253836.599857366,9806.3,6,9,6,2.75,13.91,24,"SUBNEW",0.97,24,43518.42,6,"YES","YES","YES",0.59,"GOVT",14,"NO",3
417945.865851633,26066.95,23,7,23,5.41,11.19,21.12,"SUBNEW",0.83,17,25986.37,4,"NO","NO","NO",0.9,"OTHER",7,"NO",4
146397.43125736,7205.11,38,5,38,0.89,13.54,23.01,"CITY",0.98,10,20257.58,3,"NO","NO","NO",0.34,"DOCTOR",2,"YES",4
215760.724911127,8564.9,7,9,40,0.75,13.85,24.67,"CITY",0.85,22,23971.28,6,"NO","NO","NO",0.63,"DOCTOR",16,"NO",2
1251804.11224045,51934.01,9,7,20,2.84,11.62,15.19,"SUBNEW",0.81,16,53803.1,6,"YES","YES","NO",0.31,"BUS.",3,"NO",0
458206.162039395,18486.45,47,9,47,0.89,13.88,23.36,"CITY",0.99,40,38255.35,10,"YES","NO","NO",0.57,"LEGAL",15,"YES",0
77916.0498037339,4298.67,7,10,7,4.03,11.71,17.4,"SUBNEW",0.67,11,30951.37,5,"NO","NO","NO",1.47,"DOCTOR",1,"NO",0
81200.5312264403,4145.11,16,3,16,5.48,12.58,25.52,"SUBNEW",0.59,12,15353.05,6,"NO","NO","NO",2.37,"LEGAL",2,"NO",0
23255.1136057401,1907.16,11,9,11,4.77,19.03,43.7,"SUBOLD",0.8,12,33419.76,6,"NO","NO","NO",1.46,"DOCTOR",4,"NO",0
758051.709055532,39823.61,54,10,79,1.47,15.06,30.38,"CITY",0.84,15,32296.55,6,"NO","NO","NO",0.91,"GOVT",7,"NO",7
71273.6781293,2286.97,12,3,33,1.47,14.43,28.48,"CITY",0.99,48,21600.08,9,"NO","NO","NO",0.32,"BUS.",42,"NO",4
632034.281043088,23747.04,1,6,1,0.1,14.5,26.48,"CITY",0.31,73,47424.05,12,"YES","NO","YES",0.79,"GOVT",9,"NO",1
2549460.16143669,198043.06,14,8,14,1.94,15.93,31.3,"SUBOLD",0.54,12,38062.87,3,"YES","NO","YES",1.55,"BUS.",7,"YES",23
2594663.34737819,106084.1,13,3,13,4.33,11.98,19.66,"SUBNEW",0.98,13,55451.13,3,"NO","NO","NO",1.56,"BUS.",12,"NO",9
360857.550668972,17314.41,3,3,3,1.65,15.36,28.99,"SUBOLD",0.95,15,27631.28,7,"YES","NO","YES",1.65,"BUS.",13,"NO",3
31661.1656938105,1831.2,22,6,22,4.88,11.6,20.31,"SUBNEW",0.7,19,33313.02,9,"NO","NO","NO",1.17,"OTHER",1,"NO",2
380811.088998421,15747.76,6,3,6,3.05,12.96,20.43,"SUBNEW",0.77,14,33643.8,4,"NO","YES","NO",1.32,"BUS.",5,"NO",0
943654.712038609,45380.6,44,7,62,1.13,13.66,22.4,"CITY",0.98,20,23030.12,5,"NO","NO","NO",0.68,"LEGAL",12,"NO",5
108899.956225275,11616.48,8,7,37,3.24,17.4,37.2,"SUBOLD",0.56,13,36217.44,3,"NO","NO","NO",0.92,"GOVT",11,"YES",2
695713.130212991,32083.49,1,3,1,4.73,11.64,19.82,"SUBNEW",0.34,20,34985.02,9,"YES","NO","NO",1.2,"LEGAL",14,"NO",4
323042.6506316,10288.28,4,5,40,0.64,13.79,23.76,"CITY",0.98,18,36919.68,5,"NO","YES","NO",0.19,"BUS.",6,"NO",0
87008.777806297,4252.47,44,4,70,0.35,14.6,27.16,"CITY",0.99,5,31030.92,4,"NO","NO","NO",0.94,"BUS.",3,"NO",3
261023.09143114,9368.77,3,6,30,5.34,10.92,20.02,"SUBNEW",0.97,7,32383.28,4,"NO","NO","NO",0.56,"DOCTOR",1,"NO",0
242494.064489051,14450.58,30,5,30,4.45,12,20.13,"SUBNEW",0.9,24,45581.22,5,"NO","NO","NO",1.56,"GOVT",7,"YES",1
5799.73809782974,211.55,27,10,27,2.06,15.51,29.61,"SUBOLD",0.68,13,38570.3,3,"NO","NO","NO",2.03,"DOCTOR",3,"NO",3
486847.819681749,30934.26,18,6,18,4.61,11.9,20.33,"SUBNEW",0.9,14,30729.23,6,"NO","NO","NO",1.46,"LEGAL",10,"NO",0
105753.24234734,4586.76,26,8,47,0.12,14.3,25.66,"CITY",0.92,13,25774.46,5,"NO","NO","NO",0.59,"OTHER",3,"YES",2
1241140.01350207,58361.92,5,4,16,4.66,13.47,25.86,"SUBNEW",0.69,15,42236.81,5,"YES","NO","YES",1.57,"LEGAL",12,"NO",0
109969.335643284,5308.61,65,4,65,0.93,13.59,23.59,"CITY",0.94,12,30577.06,3,"NO","NO","NO",0.56,"OTHER",6,"NO",2
1359092.07818235,63948.32,7,6,7,2.57,11.94,15.91,"SUBNEW",0.89,21,51142.15,7,"NO","YES","NO",0.36,"BUS.",15,"NO",6
209224.983844023,16963.41,20,3,20,2.28,16.66,34.51,"SUBOLD",0.93,17,25505.76,8,"NO","NO","NO",1.33,"BUS.",7,"YES",5
219490.2337655,9833.89,11,3,11,2.74,11.79,15.2,"SUBNEW",0.98,24,53292.11,7,"NO","NO","NO",0.47,"BUS.",13,"NO",3
249744.073311109,11992.23,10,8,10,4.56,11.45,18.38,"SUBNEW",0.95,17,46335.33,5,"NO","NO","NO",1.05,"LEGAL",12,"NO",3
260342.483958422,13012.26,15,5,15,2.34,12.16,16.82,"SUBNEW",0.96,21,37559.49,6,"NO","NO","NO",0.4,"LEGAL",16,"NO",2
88653.8147513308,4387.73,40,7,70,0.63,13.8,23.94,"CITY",0.74,12,43458.52,5,"NO","NO","NO",0.28,"LEGAL",11,"NO",0
438769.993609406,37893,20,3,20,2.73,17.09,36.18,"SUBOLD",0.97,13,6221.55,6,"NO","NO","NO",1.72,"LEGAL",7,"NO",6
55967.1897947834,2482.16,65,5,65,1.06,13.38,21.91,"CITY",0.97,18,31490.21,3,"YES","NO","NO",0.36,"DOCTOR",13,"NO",0
110103.559940952,9046.6,24,3,24,1.95,12.75,18.66,"SUBNEW",0.55,10,39928.09,8,"NO","NO","NO",1.1,"BUS.",4,"NO",5
68766.7640818671,2558.08,39,4,39,1.14,13.36,22.77,"CITY",0.88,19,25958.81,3,"NO","NO","NO",0.66,"LEGAL",10,"NO",1
144880.470389139,12934.53,16,7,16,5.75,19.14,44.56,"SUBOLD",0.94,17,48095.92,5,"NO","NO","NO",1.85,"DOCTOR",2,"NO",0
75637.8666672906,6001.97,39,3,39,1.63,15.56,29.86,"SUBOLD",0.71,9,19110.46,4,"NO","NO","NO",1.43,"LEGAL",4,"NO",3
358507.023553976,19658.3,67,3,78,0.37,14.15,24.79,"CITY",0.89,9,42779.59,3,"NO","NO","NO",0.43,"BUS.",7,"NO",0
1183053.78911607,39858.97,0,5,52,0.65,14.49,25.79,"CITY",0.9,11,19396.96,4,"NO","NO","NO",0.9,"BUS.",9,"NO",1
142184.985431952,7933.48,8,7,8,2.11,16.51,34.06,"SUBOLD",0.96,5,8735.94,5,"YES","NO","YES",1.1,"OTHER",5,"NO",3
859709.239628386,35029.9,13,6,13,5.65,10.07,19.06,"SUBNEW",0.96,5,10895.93,4,"YES","NO","NO",0.38,"BUS.",1,"NO",9
203099.182190708,15460.68,29,6,29,3.02,11.82,14.87,"SUBNEW",0.85,16,35762.89,8,"NO","NO","NO",1.16,"LEGAL",8,"NO",0
428454.125169881,29968.91,12,10,12,2.82,14.18,25.04,"SUBNEW",0.93,23,70444.8,12,"NO","NO","NO",0.45,"OTHER",16,"NO",0
28472.541539499,1508.23,0,7,0,6.16,19.67,46.61,"SUBOLD",0.32,11,7681.45,7,"YES","NO","NO",2.19,"DOCTOR",5,"NO",0
221178.045339635,9692.71,33,6,33,0.51,14.86,28.09,"CITY",0.91,44,21018.29,10,"NO","NO","NO",0.67,"DOCTOR",20,"NO",3
567450.785800401,38603.62,16,6,16,3.92,17.4,37.33,"SUBOLD",0.9,8,28097.75,4,"YES","NO","NO",0.82,"BUS.",6,"NO",8
788644.367998697,42512.48,36,10,76,0.44,14.51,26.05,"CITY",0.91,15,16825.89,5,"NO","NO","NO",0.83,"LEGAL",13,"NO",3
129265.567859427,11567.64,31,8,31,1.54,15.64,30.25,"SUBOLD",0.85,9,15434.28,5,"NO","NO","NO",1.19,"BUS.",8,"NO",0
82577.2171472241,7123.91,6,8,44,5.15,18.69,42.59,"SUBOLD",0.89,15,38967.18,3,"NO","NO","NO",1.24,"DOCTOR",2,"NO",1
106499.657920754,3839.36,22,9,41,0.73,13.71,23.67,"CITY",1,24,28534.71,6,"NO","NO","NO",0.31,"LEGAL",12,"NO",3
3673652.77100435,150817,0,6,0,3.8,11.03,12.32,"SUBNEW",0.94,19,56675.75,6,"NO","NO","NO",1.58,"BUS.",2,"NO",21
84835.8796078803,6602.01,35,6,35,3.32,16.61,34.18,"SUBOLD",0.96,9,34519.19,3,"NO","NO","NO",1.43,"DOCTOR",2,"NO",1
249595.103280675,9832.41,6,10,6,5.32,11.64,22.14,"SUBNEW",0.69,5,36722.78,3,"NO","YES","NO",1.34,"GOVT",4,"NO",2
337897.688094298,15342.78,4,6,4,4.09,17.96,39.43,"SUBOLD",0.97,20,39926.19,7,"YES","YES","YES",0.04,"LEGAL",3,"NO",3
209401.735634519,12807.76,4,4,4,1.66,16.01,31.94,"SUBOLD",0.69,16,38758.58,3,"NO","NO","NO",0.87,"LEGAL",16,"NO",3
1213080.44464146,127720.67,34,3,34,2.08,16.47,33.85,"SUBOLD",0.84,11,33338.46,3,"NO","NO","NO",1.1,"BUS.",4,"NO",13
44709.155932161,1623.84,40,4,40,0.41,14.28,25.17,"CITY",0.86,40,43512.87,8,"YES","NO","NO",0.59,"DOCTOR",23,"YES",2
69990.9068860903,3757.8,1,3,1,2.62,17,35.85,"SUBOLD",0.72,8,18604.5,3,"NO","NO","NO",1.64,"BUS.",3,"YES",3
128424.35019512,5862.69,12,5,12,2.91,11.53,15.3,"SUBNEW",0.95,17,27940.43,7,"NO","NO","NO",0.35,"DOCTOR",2,"NO",0
293419.124566185,15206.01,11,3,11,4.66,11.36,18.47,"SUBNEW",0.97,16,64069.88,6,"NO","NO","NO",0.94,"BUS.",14,"NO",5
